name,planet_status,M_p,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,R_p,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,a_p,semi_major_axis_error_min,semi_major_axis_error_max,e_p,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,M_star,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,unknown_teff,unknown_age,unknown_radius,unknown_period,unknown_impact,unknown_mag_v,rH_pro,rH_ret,rR_Mm_best,laplace,pass_hill_pro,pass_hill_ret,pass_roche,pass_laplace,pass_all,best_Mm_Mjup,best_e_m,best_rR_AU,best_ratio_rR_rH_pro
Kepler-1657 b,Confirmed,1.93,0.21,0.19,,,,0.99,0.07,0.06,141.241671,8.6e-05,8.6e-05,0.534,0.03,0.012,0.496,0.031,0.031,89.892,0.086,0.069,,2018,2024-05-29,154.7,7.8,7.8,,,,2455936.65434,0.00018,0.00018,2455936.65434,0.00018,0.00018,,,,,,,0.15,0.09,0.1,,,,87.7,6.6,6.6,347.0,12.0,12.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"K03680.01, 2MASS J19330757+4518348 b, KIC 9025971 b, KOI-3680.01, WISE J193307.57+451834.8 b, KOI-3680 b",,Kepler-1657,293.281566,45.309677,,14.325,13.384,13.041,13.101,946.59,24.45,24.45,0.16,0.07,0.07,1.01,0.06,0.05,0.96,0.073,0.345,G2V,3.2,2.3,9.6,5830.0,100.0,100.0,,,"2MASS J19330757+4518348, KOI-3680, KIC 9025971, WISE J193307.57+451834.8, TIC 275574174",False,False,False,False,False,True,0.010843277200862254,0.019536618604553684,,2.1850583616216515,True,True,True,True,True,0.05,0.0,0.0034398571890445766,0.31723409125527474
Kepler-420 Ab,Confirmed,1.45,0.35,0.35,,,,0.94,0.12,0.12,86.647661,3.4e-05,3.4e-05,0.382,0.006,0.006,0.772,0.045,0.045,89.66,0.24,0.38,,2014,2024-07-28,141.3,17.0,17.0,,,,2455006.79454,0.0003,0.0003,2455006.79454,0.0004,0.0004,,,,74.0,32.0,46.0,,,,,,,,,,511.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,"KOI-1257 b, 2MASS J19245404+4455385 b, K01257.01, KIC 8751933 b, KOI-1257.01, WISE J192454.01+445538.5 b, KOI-1257 Ab, TIC 159647910 b",,Kepler-420 A,291.22518,44.927383,,,13.222,12.827,,900.0,110.0,110.0,0.27,0.09,0.09,0.99,0.05,0.05,1.13,0.14,0.14,G5V,9.3,3.0,3.0,5520.0,80.0,80.0,,,"2MASS J19245404+4455385, KIC 8751933, KOI-1257 A, WISE J192454.01+445538.5, KOI-1257, TIC 159647910",False,False,False,False,True,True,0.002972904576000048,0.004579189339855603,,1.7079934057453545,True,True,True,True,True,0.05,0.0,0.00296918074803776,0.9987474108680278
Kepler-47 (AB)d,Confirmed,0.05984,0.0368,0.0749,,,,0.6281,0.0437,0.0589,187.35,0.15,0.15,0.6992,0.0033,0.0033,0.024,0.017,0.025,90.0,,,,2013,2024-08-12,352.0,166.0,96.0,,,,,,,2455045.428,0.047,0.044,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,Theoretical,Primary Transit,,,Kepler-47 A,295.2979,46.92,,,,,,,,,,,,1.043,0.055,0.055,0.964,0.017,0.017,,,,,5636.0,100.0,100.0,,,,False,True,False,False,True,True,0.008798832836625884,0.01667927785727574,,9.205189994486135,True,True,True,True,True,0.05,0.0,0.0006856125678466995,0.07792085388789059
Kepler-64 (AB)b,Confirmed,0.53,0.53,0.0,,,,0.553,0.015,0.015,138.506,0.1,0.1,0.634,0.011,0.011,0.0539,0.0081,0.0081,90.0,0.07,0.07,,2013,2024-08-12,348.0,6.7,5.0,,,,,,,2455074.71,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"KIC 4862625 (AB) b, PH1 (AB) b",,Kepler-64 (AB),298.2167,39.955,,,,,,,,,,,,1.93,0.09,0.09,1.7,,,F+M,,,,,,,,,KIC 4862625 (AB),True,True,False,False,True,True,0.013021114573292,0.024643026040202316,,4.9527928830367856,True,True,True,True,True,0.05,0.0,0.0012489255091680644,0.0959154074052749
Kepler-86 b,Confirmed,0.34235,0.101,0.094,,,,0.8466,0.0143,0.0143,282.5254,0.0001,0.0001,0.824,0.019,0.019,0.28,0.13,0.12,89.915,0.022,0.022,,2013,2019-10-09,30.0,45.0,51.0,,,,,,,2455761.12272,0.00015,0.00015,,,,,,,,,,,,,11.47,3.0,3.0,281.0,,,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,,"KIC-12735740 b, PH-2 b",,Kepler-86,289.7625,51.9625,,,,,,,,,-0.078,0.028,0.032,0.94,0.02,0.02,1.0,0.05,0.05,,,,,5629.0,45.0,42.0,,,"KIC 12735740, PH2",False,True,False,False,True,True,0.014008852013267825,0.026065133194937938,,5.858864869320613,True,True,True,True,True,0.05,0.0,0.0016528032436373718,0.11798277561016399
NGTS-29 b,Confirmed,0.39,0.03,0.03,,,,0.857,0.012,0.012,69.33684,1e-05,1e-05,0.347,0.029,0.029,0.17,0.1,0.02,,,,,2024,2024-05-14,-104.0,21.0,6.0,,,,,,,,,,,,,,,,,,,,,,18.8,14.0,14.0,414.0,7.0,28.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-2447 b,,NGTS-29,70.9975,-39.906666666666666,10.0,,,,,149.4,0.3,0.3,0.18,0.08,0.08,1.034,0.032,0.032,1.006,0.009,0.009,,2.1,1.0,1.0,5730.0,80.0,80.0,,,TOI-2447,False,False,False,False,True,False,0.006918905060311048,0.012996485671364704,,2.438644800323697,True,True,True,True,True,0.05,0.0,0.0017473844739070471,0.2525521681068552
TIC 139270665 b,Confirmed,0.463,0.046,0.046,,,,0.645,0.024,0.024,23.624,0.03,0.03,0.163,0.003,0.003,0.1,0.05,0.05,89.8,0.2,0.2,,2024,2024-03-21,-62.0,30.0,30.0,,,,,,,2459592.36614,0.00096,0.00096,2459581.18,0.7,0.8,,,,0.16,0.1,0.16,,,,32.4,1.3,1.3,700.0,14.0,14.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TIC 139270665,124.0338,33.2915,,,,,,147.8,0.7,0.7,0.16,0.06,0.06,1.035,0.06,0.05,1.02,0.03,0.03,,3.4,2.4,3.8,5844.0,84.0,84.0,,,,False,False,False,False,False,True,0.0037409809619544155,0.007060651529585932,,1.082200723444658,True,True,True,True,True,0.05,0.0,0.0013925351294414483,0.37223796207557835
TOI-1775 b,Confirmed,0.302,0.047,0.047,,,,0.776,0.045,0.045,10.2405549,9.6e-06,9.6e-06,0.082,0.002,0.002,0.0,,,,,,,2024,2024-08-16,,,,,,,,,,2458877.5645,0.00047,0.00047,,,,,,,,,,,,,29.8,4.6,4.6,760.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1775,150.115,39.45775,,,,,,149.23,0.95,0.95,,,,0.9,0.1,0.1,0.84,0.05,0.05,,,,,5251.0,128.0,132.0,,,,False,True,False,False,True,True,0.0019063116431914915,0.0036181016901389537,,0.5991829826037579,True,True,True,True,True,0.05,0.0,0.0014529482644382846,0.7621777213749797
TOI-1836 Ab,Confirmed,0.092,0.015,0.015,,,,0.78188,0.00161,0.00161,20.38084,2e-05,2e-05,0.1577,,,0.13,0.09,0.12,,,,,2024,2024-09-06,,,,,,,,,,,,,,,,14.0,8.0,8.0,0.31,0.21,0.19,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,HD 148193 Ab,,TOI-1836 A,245.90820850503,54.6897621518,9.77,,8.8,8.586,8.531,189.23,0.51,0.5,-0.098,0.047,0.024,1.29,0.183,0.183,1.611,0.0676,0.0676,F6IV,6.6,1.8,1.8,6369.0,69.0,35.0,,,HD 148193 A,False,False,False,False,False,False,0.0018949205594792167,0.003569490615975794,,1.9309280149510983,True,True,True,True,True,0.05,0.0,0.0009850436937900308,0.5198337676281013
TOI-2010 Ab,Confirmed,1.286,0.057,0.057,,,,1.054,0.027,0.027,141.834025,6.6e-05,6.6e-05,0.5516,0.009,0.008,0.212,0.02,0.02,89.9,0.06,0.06,,2023,2024-07-28,98.8,4.9,4.9,,,,,,,2458712.30168,0.0004,0.0004,,,,,,,0.147,0.1,0.09,,,,47.8,1.5,1.5,400.0,5.7,5.7,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-2010.01,,TOI-2010 A,292.16666668,53.487500013,9.85,,,,,108.26,0.2,0.2,0.17,0.055,0.055,1.112,0.55,0.048,1.075,0.009,0.009,G0V,1.9,1.3,2.2,5929.0,74.0,74.0,,,BD+53 2248,False,False,False,False,False,False,0.015140318019999287,0.02834601410981629,,2.6683694490756085,True,True,True,True,True,0.05,0.0,0.0031987015099552533,0.2112704307617578
TOI-2180 b,Confirmed,2.755,0.08,0.08,,,,1.01,0.019,0.022,260.158,0.00045,0.00045,0.828,0.012,0.012,0.368,0.007,0.007,89.955,0.044,0.032,,2022,2022-04-13,316.2,1.3,1.3,2458760.7,1.3,1.3,,,,2458830.76417,0.001,0.001,2458745.41,1.0,1.0,,,,0.1,0.07,0.095,,,,87.75,1.0,1.0,348.0,4.0,4.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,HD 238894 b,,TOI-2180,277.941666682,56.650833347,9.2,,,,,116.3,0.23,0.23,0.253,0.055,0.055,1.111,0.047,0.047,1.636,0.029,0.033,,8.1,1.5,1.5,5695.0,60.0,60.0,,,HD 238894,False,False,False,False,False,False,0.023282076601670643,0.042879059914160154,,3.1061916742309803,True,True,True,True,True,0.05,0.0,0.003951372955985668,0.16971737631436756
TOI-2202 b,Confirmed,0.978,0.059,0.063,,,,1.0,0.08,0.52,11.9101,0.0036,0.0022,0.09564,0.0016,0.00156,0.042,0.0075,0.0255,88.4,3.3,0.6,,2021,2021-08-12,84.1,16.4,9.8,,,,,,,,,,,,,90.4,0.8,14.6,,,,,,,99.2,5.2,5.6,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-2202,51.22854,-73.95756,,,,,,235.93,1.0,1.0,0.04,0.05,0.05,0.823,0.023,0.027,0.794,0.007,0.007,K8V,7.48,3.33,3.33,5144.0,50.0,50.0,,,,False,False,False,False,True,True,0.003242438462366385,0.006140508077287764,,0.45848696203454353,True,True,True,True,True,0.05,0.0,0.002770123085128236,0.8543332794993291
TOI-257 b,Confirmed,0.134,0.023,0.023,,,,0.626,0.013,0.013,18.38827,0.00072,0.00072,0.1523,0.0017,0.0017,0.24,0.065,0.04,88.78,0.57,0.78,,2020,2020-01-23,96.0,22.0,22.0,,,,,,,2458385.76,0.0011,0.0011,,,,,,,0.28,0.19,0.19,,,,8.5,1.4,1.4,1033.0,19.0,19.0,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,HD 19916 b,,TOI-257,47.516666668,-50.832500029,,,,,,77.07,0.02,0.02,0.19,0.1,0.1,1.389,0.009,0.056,1.926,0.017,0.017,F8/G0V,3.11,0.46,0.46,6075.0,90.0,90.0,,,HD 19916,False,False,False,False,False,True,0.0017591610534650663,0.0032855935197532923,,1.6861627146609766,True,True,True,True,True,0.05,0.0,0.000893981875980166,0.5081864870867088
